bank,account,period,value
SANTANDER,Total activos,2024-12-31,12113899.0
SANTANDER,Total activos,2023-12-31,9686171.0
SANTANDER,Titulos emitidos,2024-12-31,0.0
SANTANDER,Titulos emitidos,2023-12-31,0.0
SANTANDER,Total pasivos,2024-12-31,11184529.0
SANTANDER,Total pasivos,2023-12-31,8879807.0
SANTANDER,Total patrimonio,2024-12-31,929370.0
SANTANDER,Total patrimonio,2023-12-31,806364.0
SANTANDER,Total patrimonio,2024-01-01,806364.0
SANTANDER,Total patrimonio,2023-01-01,646849.0
SANTANDER,Bonos emitidos,2024-12-31,0.0
SANTANDER,Notas y debentures emitidos,2024-12-31,0.0
SANTANDER,Obligaciones subordinadas,2024-12-31,0.0
